Location, Openings
Seattle,17
New York,16
London,12
Cape Town,6
Amsterdam,5
San Francisco,4
Berlin,4
Brighton,3
Cambridge,3
Paris,3
Cupertino,2
Copenhagen,2
Chicago,2
Sofia,2
San Diego,2
Redlands,2
Stockholm,2
Frankfurt,2
Bellevue,2
Munich,2
Surrey,2
Kirkland,2
Leidschendam,1
Karlsruhe,1
Hull,1
Leamington,1
K,1
Hayes,1
Minneapolis,1
Molndal,1
Hamburg,1
Naarden,1
Natick,1
Netanya,1
Gdynia,1
Oxford,1
Palo Alto,1
Eindhoven,1
Pullman,1
Raleigh,1
Durham,1
Dublin,1
Dorking,1
Santa Clara,1
Danderyd,1
Campinas,1
Budapest,1
Sunnyvale,1
Austin,1
Teltow,1
Vienna,1
Wil,1
