Location, Openings
London,13
Berlin,8
Hamburg,7
Amsterdam,6
New York,5
San Francisco,5
Cologne,3
Portland,3
Toronto,2
Bristol,2
Helsinki,2
Palo Alto,2
Zurich,2
Cape Town,1
Crawley,1
Dayton,1
Edinburgh,1
Eugene,1
Frankfurt,1
Fulda,1
Gainesville,1
Gothenburg,1
Greater London,1
Cambridge,1
Hannover,1
Budapest,1
Holborn,1
Holzminden,1
Istanbul,1
Kirkland,1
Lille,1
Brussels,1
Los Angeles,1
M,1
Marzling,1
Melbourne,1
Milton Keynes,1
Minneapolis,1
Montreal,1
Munich,1
Broomfield,1
Overland Park,1
Bridgnorth,1
Philadelphia,1
Phoenix,1
Boca Raton,1
Reading,1
Ried im Innkreis District,1
Barcelona,1
San Diego,1
Austin,1
Santa Ana,1
Seattle,1
Swansea,1
Tallinn,1
Arlington,1
Union Square,1
Wetzlar,1
Wiesbaden,1
Winona,1
Wolfsburg,1
Z,1
Zephyr Cove,1
Rotterdam,1
