Location, Openings
Seattle,37
London,28
New York,18
San Francisco,15
Hamburg,11
Amsterdam,9
Berlin,8
Stockholm,6
Cape Town,6
Cupertino,6
Cambridge,5
Boston,4
Chicago,4
Paris,3
Helsinki,3
Lodz,3
Frankfurt,3
Austin,3
Sydney,3
Dubai,2
Copenhagen,2
Toronto,2
Dallas,2
Utrecht,2
Munich,2
Cologne,2
Dublin,2
Manchester,2
Lyon,2
Redlands,2
Brighton,2
Portland,2
Las Vegas,2
Warsaw,2
Krakow,2
Bristol,2
Kirkland,2
Salt Lake City,1
Hoffman Estates,1
K,1
Karlsruhe,1
Herford,1
Hamilton Square,1
Gothenburg,1
Lawrenceville,1
Leamington,1
Leidschendam,1
Gdynia,1
Espoo,1
Eindhoven,1
Edmonton,1
Marseille,1
Marzling,1
Melbourne,1
Milton Keynes,1
Minneapolis,1
Munchengladbach,1
Denver,1
N,1
Nanterre,1
Nashville,1
Dayton,1
Newcastle upon Tyne,1
Nieuwegein,1
Palo Alto,1
Chandler,1
Philadelphia,1
Campinas,1
Butzbach,1
Redwood City,1
Roanoke,1
Rotterdam,1
Saarlouis,1
Hildesheim,1
San Bruno,1
Budapest,1
Bremen,1
Singapore,1
Slough,1
Sofia,1
St,1
Brasov,1
Boxtel,1
T,1
Tallinn,1
Taunton,1
Tel Aviv,1
The Hague,1
Tilburg,1
Boise,1
Turku,1
Barcelona,1
Velizy,1
Vienna,1
Alpharetta,1
Washington,1
Wroclaw,1
Yeadon,1
