Location, Openings
London,17
New York,12
Berlin,5
San Francisco,4
Hamburg,4
Seattle,3
Amsterdam,3
Palo Alto,2
Sydney,2
Toronto,2
Helsinki,2
San Diego,2
Menlo Park,1
Dubai,1
Dundee,1
Durham,1
Edinburgh,1
Gateshead,1
Crawley,1
Cincinnati,1
Ipswich,1
Istanbul,1
Kirkland,1
Chicago,1
Malmo,1
Marina del Rey,1
Mclean,1
Denver,1
Milton Keynes,1
Montreal,1
Cape Town,1
Newton,1
Norton,1
Nottingham,1
Cambridge,1
Pittsburgh,1
Portland,1
Poznan,1
Roanoke,1
Roseville,1
Rotterdam,1
Salisbury,1
Bristol,1
Berkeley,1
Barcelona,1
Singapore,1
Sofia,1
Swansea,1
Bangkok,1
Tallinn,1
Arlington,1
Utrecht,1
Washington,1
Wolfsburg,1
